"GMYC_spec" "sample_name"
"1" 1 "NZPLR218_13|Lecane_ludwigii"
"2" 1 "NZPLR217_13|Lecane_ludwigii"
"3" 1 "NZPLR216_13|Lecane_ludwigii"
"4" 2 "NZPLR197_12|Polyarthra_dolichoptera"
"5" 2 "NZPLR198_12|Polyarthra_dolichoptera"
"6" 3 "NZPLR060_11|Trichocerca_similis"
"7" 3 "NZPL522_12|Trichocerca_similis"
"8" 3 "NZPLR054_11|Trichocerca_similis"
"9" 3 "NZPLR058_11|Trichocerca_similis"
"10" 3 "NZPLR055_11|Trichocerca_similis"
"11" 3 "NZPLR056_11|Trichocerca_similis"
"12" 3 "NZPLR009_11|Trichocerca_similis"
"13" 3 "NZPLR053_11|Trichocerca_similis"
"14" 4 "NZPLA046_11|Trichocerca_similis"
"15" 4 "NZPLR003_10|Trichocerca_similis"
"16" 5 "NZPL845_17|Trichocerca_similis"
"17" 5 "NZPL850_17|Trichocerca_similis"
"18" 5 "NZPL848_17|Trichocerca_similis"
"19" 6 "NZPL854_17|Trichocerca_similis"
"20" 6 "NZPL880_17|Trichocerca_similis"
"21" 6 "NZPL883_17|Trichocerca_similis"
"22" 6 "NZPL853_17|Trichocerca_similis"
"23" 6 "NZPL855_17|Trichocerca_similis"
"24" 6 "NZPL879_17|Trichocerca_similis"
"25" 7 "NZPL882_17|Trichocerca_similis"
"26" 7 "NZPL878_17|Trichocerca_similis"
"27" 7 "NZPL857_17|Trichocerca_similis"
"28" 8 "NZPL846_17|Trichocerca_similis"
"29" 8 "NZPL881_17|Trichocerca_similis"
"30" 9 "NZPL884_17|Trichocerca_similis"
"31" 9 "NZPL877_17|Trichocerca_similis"
"32" 9 "NZPL875_17|Trichocerca_similis"
"33" 9 "NZPL873_17|Trichocerca_similis"
"34" 9 "NZPL874_17|Trichocerca_similis"
"35" 10 "NZPL539_12|Squatinella_mutica"
"36" 10 "NZPLR187_12|Squatinella_mutica"
"37" 10 "NZPLR188_12|Squatinella_mutica"
"38" 11 "NZPLR214_13|Trichocerca_pusilla"
"39" 11 "NZPLR213_13|Trichocerca_pusilla"
"40" 12 "NZPLR384_14|Trichocerca_stylata"
"41" 12 "NZPLR375_14|Trichocerca_stylata"
"42" 13 "NZPL528_12|Lecane_decipiens"
"43" 13 "NZPLR179_12|Lecane_decipiens"
"44" 13 "NZPLR180_12|Lecane_decipiens"
"45" 13 "NZPL529_12|Lecane_decipiens"
